id,state_nm,country,Meal,Meal2,McMeal,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese
114,22,Sp,14.54,62.32,9.35,3.12,3.64,2.32,2.15,1.49,0.98,1.48,1.33,2.59,12.13
115,22,Un,20,100,10.6,7,8,4.89,2.36,2.07,1.09,3.92,4.04,3.45,16.08
116,24,Ch,3.14,20.25,5.24,4.19,6.98,4.19,0.35,0.28,1.82,1.75,0.7,1.22,12.13
117,23,Ch,2.79,22.35,3.35,0.84,2.1,3.2,0.42,0.28,1.4,1.54,0.84,1.34,12.13
118,24,Ch,1.12,22.35,3.49,0.42,1.4,2.1,0.42,0.14,0.85,1.54,0.87,1.34,8.85
119,23,Ch,2.1,9.78,4.19,4.19,6.98,3.96,0.56,0.4,1.82,2.1,0.98,3.45,16.06
120,22,Ch,2.93,17.46,4.19,0.84,1.4,3.49,0.44,0.28,1.8,1.05,0.84,1.56,10.43
121,24,Au,15.42,80.47,9.05,6.71,6.71,3.21,2.56,2.27,1.32,2.23,2.13,3.58,8.76
122,23,Ch,3.49,27.88,4.89,0.84,1.68,4.1,0.49,0.31,1.66,1.22,0.88,1.73,18.58
123,24,Ch,2.79,13.97,6.43,0.7,2.1,2.51,0.35,0.24,1.4,2.23,0.7,1.68,13.27
124,22,So,8.78,38.06,4.36,2.34,2.34,1.87,0.92,0.74,1.09,0.9,1.51,2.14,6.76
125,25,Ch,3.49,16.76,5.94,1.75,2.79,2.79,0.44,0.47,1.82,1.4,0.91,1.34,6.98
126,23,Ch,2.79,16.76,5.59,0.7,2.1,2.33,0.31,0.28,1.44,1.54,0.84,1.76,13.27
127,21,Ch,4.19,20.95,3.35,1.4,2.1,2.1,0.45,0.28,1.88,1.52,0.93,1.22,14.32
128,21,Mo,3.63,18.61,6.05,2.79,3.72,1.75,0.44,0.32,0.68,0.47,1.38,1.18,7.47
129,24,Af,1.67,5.56,3.06,0.7,2.1,0.92,0.22,0.13,0.59,0.23,1.21,1.18,3.33
130,22,Un,18,70,10,6,6,5.14,2.51,1.86,0.85,3.15,4.21,3.55,11.55
131,24,Ch,2.3,20.95,4.4,1.4,2.79,2.1,0.49,0.3,1.4,1.64,0.84,1.31,9.78
132,23,Ch,2.79,16.76,4.19,1.4,3,3.7,0.44,0.44,1.36,1.26,0.84,1.54,10.43
133,25,Jo,5.64,42.31,7.05,7.05,7.05,4.08,0.54,0.39,1.47,0.52,1.67,1.97,7.43
134,23,Ch,2.79,16.76,5.59,0.7,2.1,2.33,0.42,0.28,1.47,0.7,0.42,1.54,11.55
135,23,Ch,2.79,13.97,6.43,0.7,2.1,2.51,0.35,0.24,1.4,1.26,0.7,1.68,13.27
136,23,Ni,2.25,9.01,4.51,0.68,1.01,2.25,0.41,0.34,2.7,1.24,2.25,1.59,11.12
137,23,Ch,3.07,20.95,4.54,0.88,1.4,2.99,0.47,0.31,2.18,1.64,1.08,1.83,7.68
138,22,Ch,1.68,17.46,4.89,1.4,1.4,3.49,0.4,0.28,1.4,2.79,0.56,0.84,13.97
139,24,Ja,6.14,43.31,5.05,2.89,4.33,3.01,0.89,0.81,1.46,1.32,3.01,1.83,11.12
140,23,Ch,6.14,15.36,4.19,1.4,1.4,2.79,0.46,0.3,1.12,0.92,1.02,1.09,13.97
141,23,Sa,6.65,47.9,6.65,1.4,1.66,3.81,0.73,0.28,1.6,0.84,2.01,2.54,7.39
142,24,Un,20,100,11,7,8,5.15,2.48,1.92,1.12,4.2,5.13,3.55,17.3
143,20,Ch,3.7,11.03,4.18,0.84,2.03,2.42,0.65,0.51,1.14,1.68,0.72,1.82,17.3
144,22,Ge,12.46,62.32,9.35,4.15,4.15,3.33,2.47,1.91,1.17,1.67,2.39,2.98,12.14
145,22,Ch,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.25,2.28,1.08,0.58,1.07,12.14
146,22,Un,15.63,60,8.25,4.75,6,4.79,2.05,1.57,0.92,2.94,3.51,3.12,12.24
147,21,Al,2.71,21.67,4.69,1.81,2.27,0.95,0.5,0.19,0.87,0.16,1.18,1.42,7.7
148,22,So,6.03,35.81,4.9,3.02,4.52,3.28,1.29,0.72,1.98,2.59,4.02,1.96,13.57
149,25,Ca,14.89,67.01,9.68,5.77,5.96,3.56,1.8,1.37,2.2,2.82,2.94,2.91,11.45
150,22,Ch,3.49,27.88,4.89,0.84,1.68,4.1,0.49,0.31,1.25,1.22,0.88,1.73,18.58
151,24,Ch,2.1,16.76,4.19,0.77,2.23,3.21,0.44,0.28,1.73,1.67,0.71,1.45,17.46
152,21,In,3.06,12.24,3.06,1.84,3.67,1.56,0.35,0.18,0.67,0.45,0.71,1.03,3.95
153,21,Pa,1.23,6.68,3.34,2.23,2.9,0.7,0.18,0.15,0.53,0.35,0.69,0.82,2.83
154,22,Un,20,80,9.97,7,8,4.78,2.4,1.97,1.1,3.88,4.36,4.24,12.97
155,21,In,2.45,9.79,3.67,1.84,3.98,1.44,0.45,0.2,0.64,0.45,0.89,0.91,5.35
156,24,Ch,2.79,15.36,4.19,0.84,1.68,3.4,0.7,0.38,1.53,1.31,1.06,2.35,14.4
157,22,Ir,2.59,35.63,4.03,0.7,1,1.52,1.06,0.64,0.73,0.65,2.25,1.24,2.71
158,21,Br,5.59,37.27,6.52,1.49,2.8,1.48,0.98,0.7,1.03,1.44,1.61,2,8.45
159,21,Ch,4.19,20.95,4.4,1.12,2.1,3,0.42,0.28,1.4,2.1,0.94,1.68,5.59
160,21,Un,18,66.94,9,6,6,5.37,2.01,1.83,0.89,3.24,4.9,3.1,9.97
161,21,Ch,2.79,22.35,4.89,0.84,2.1,1.4,0.44,0.28,1.55,0.56,0.87,1.34,8.85
162,20,Et,7.6,30,4,0.75,1.3,0.78,0.72,0.47,0.91,0.57,1.98,2.11,8.12
163,24,Ch,6.5,55.29,6.5,2.6,3.25,4.68,0.47,0.27,1.34,0.75,1.91,1.78,3.84
164,18,Ch,3.54,19.45,2.74,1.33,2.43,2.68,0.97,0.52,1.56,1.19,0.92,1.91,8.78
165,22,So,5.28,27.52,4.37,3.02,3.77,3.5,1.24,0.69,2.75,2.7,3.91,3.35,9.49
166,25,Un,21,60,10,6,7,4.5,2.12,1.6,1.09,3.48,3.65,3.29,13.62
167,22,Ch,5.99,17.98,9,2,1.8,2.9,1.05,0.72,2.01,1.2,3.65,3.13,7.13
168,18,Ch,1.27,11.12,3.18,2.86,4.38,1.79,0.58,0.31,1.09,0.91,0.79,1.44,8.42
169,22,Ch,6.76,26.53,3.6,0.97,1.76,1.31,0.62,0.46,0.97,0.68,1.56,1.29,7.81
170,21,Ch,1.59,12.71,3.18,2.43,2.54,1.41,0.44,0.26,1.17,0.95,0.79,1.49,6.03
171,21,Ch,5.75,33.52,5.75,1.92,3.19,2.35,1.09,0.85,1.66,1.97,1.5,2.08,5.25
172,24,Ch,16.1,72.71,9.04,5.19,5.19,1.47,2.05,1.15,1.58,1.6,2.19,3.48,16.16
173,21,Un,18,72.5,9.4,6,7,4.92,2.58,2.03,1.03,4.02,4.9,3.17,12.78
174,21,Br,4.66,24.22,5.59,1.49,2.8,1.46,0.92,0.58,1.07,1.49,0.94,1.68,8.52
175,21,Ch,2.26,27.46,4.85,2.26,2.26,3.21,0.99,0.63,3.14,1.77,3.5,3.11,18.31
176,21,Ch,18,33.52,4.19,2.26,1.46,2.1,0.35,2.03,1.4,1.6,2.19,3.48,16.16
177,22,Ch,2.79,16.76,4.75,1.4,3,3.7,0.5,0.44,1.36,1.33,0.98,1.54,16.41
178,23,Ch,2.89,20.97,6.51,2.17,3.61,2.58,1,0.79,0.96,1.14,1.11,1.57,6.86
179,20,Ch,2.65,40,6.25,2,4.95,2.33,0.99,0.59,1.06,1.44,1.49,1.86,4.84
180,21,Ch,3.23,25.85,4.85,1.73,2.58,2.88,1.05,0.68,2.86,1.94,2.19,2.66,11.84
181,21,Ch,4.27,20.49,3.13,2,2.58,1.81,1.68,1.99,0.26,0.55,4.4,1.74,6.86
182,22,Ch,3.49,18.86,4.19,1.05,2.58,2.72,0.49,0.28,2.1,1.05,0.91,1.17,11.84
183,20,Ch,5.82,38.77,4.85,1.94,2.91,2.99,1.02,0.66,3.08,1.89,2.99,3.21,16.28
184,21,Ch,2.79,20.95,4.19,1.12,1.96,2.68,0.41,0.25,2.28,1.08,0.58,1.07,16.28
185,21,Ch,6.98,25.14,5.24,0.84,2.58,3.4,0.42,0.21,1.47,0.96,1.24,1.68,16.28
186,21,Ch,4.14,20.7,6.32,1.15,1.61,1.19,0.79,0.47,0.96,1.03,0.74,1.91,7.47
187,20,Ch,2.1,27.94,5.66,2.1,2.79,4.54,0.63,0.35,2.79,0.98,0.28,1.34,7.47
188,15,Un,19,87.5,12,8,8,4.88,2.11,1.67,1.28,3.7,5.62,3.35,12.15
189,21,Co,3.26,18.34,4.69,1.02,1.83,1.08,0.68,0.53,0.65,0.86,0.76,1.34,3.13
190,21,Ch,2.79,16.76,4.89,0.7,2.51,3.35,0.41,0.27,1.77,1.09,1.64,1.51,10.43
191,21,Ch,12.25,81.68,8.17,12.25,13.54,5.3,1.24,0.63,1.79,1.48,1.92,3.16,9.72
192,19,Do,9.04,37.99,7.24,2.71,4.52,2.05,0.84,0.54,1.29,2.12,1.24,2.19,6.92
193,23,Do,1.35,10.14,6.76,0.68,1.49,1.75,0.32,0.22,2,1.18,2.31,1.34,3.79
194,19,Do,4.19,18.16,5.59,0.84,2.1,3.6,0.42,0.28,2.41,1.86,1.05,1.95,20.13
195,21,Do,5,30,3.5,1.2,2.75,1.55,0.6,0.3,0.99,0.42,1.33,1.46,5.95
196,21,Ch,2.14,16.3,5.1,0.82,1.43,0.87,0.54,0.45,0.87,0.92,0.6,1.52,2.91
197,18,In,5.28,27.52,5.28,3.02,3.77,3.32,1.24,0.66,2.27,2.7,3.77,3.11,9.49
198,21,Eg,4.84,22.36,6.15,1.54,2.32,1.57,0.89,0.5,1.11,1.32,0.92,1.4,6.29
199,22,Au,3.96,31.67,3.17,1.11,1.58,0.87,0.74,0.4,2.3,0.52,1.45,1.69,17.95
200,22,Sp,0.79,23.75,2.06,1.11,0.87,1.58,0.59,0.48,2.11,1.03,0.85,1.9,9.49
201,20,Un,3.17,31.67,3.17,1.07,1.35,1.43,0.71,0.42,1.91,0.69,0.86,1.49,14.65
202,19,Ch,4.9,12.24,3.67,2.33,3.98,2.04,0.42,0.17,0.63,0.45,0.64,0.93,7.07
